model,task,method,budget,seed,run_id,em,f1,rougeL,n,peak_vram_gb,train_time_min,trainable_ratio,meta_file
gemma,squad_v2,lora,2048,43,gemma_squad_v2_lora_b2048_s43,0.46,0.5541663489577531,,200,13.14537525177002,23.236838269233704,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_lora_b2048_s43_meta.json
gemma,squad_v2,lora,512,42,gemma_squad_v2_lora_b512_s42,0.495,0.5701634513634516,,200,13.14537525177002,5.907090246677399,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_lora_b512_s42_meta.json
gemma,squad_v2,lora,512,43,gemma_squad_v2_lora_b512_s43,0.535,0.6106071428571429,,200,13.14537525177002,5.886237653096517,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_lora_b512_s43_meta.json
gemma,squad_v2,qlora,128,42,gemma_squad_v2_qlora_b128_s42,0.385,0.48236111111111113,,200,7.646916389465332,3.2390448530515035,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_qlora_b128_s42_meta.json
gemma,squad_v2,qlora,128,43,gemma_squad_v2_qlora_b128_s43,0.41,0.5035277777777778,,200,7.646916389465332,3.2601319869359333,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_qlora_b128_s43_meta.json
gemma,squad_v2,qlora,2048,42,gemma_squad_v2_qlora_b2048_s42,0.43,0.5073227006634802,,200,7.646916389465332,50.574675126870474,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_qlora_b2048_s42_meta.json
gemma,squad_v2,qlora,2048,43,gemma_squad_v2_qlora_b2048_s43,0.385,0.47212205408783353,,200,7.646916389465332,50.762979396184285,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_qlora_b2048_s43_meta.json
gemma,squad_v2,qlora,512,42,gemma_squad_v2_qlora_b512_s42,0.41,0.4925515873015875,,200,7.646916389465332,12.730397514502208,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_qlora_b512_s42_meta.json
gemma,squad_v2,qlora,512,43,gemma_squad_v2_qlora_b512_s43,0.42,0.5069449620427883,,200,7.646916389465332,12.765867861111959,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_qlora_b512_s43_meta.json
qwen,dialogsum,dora,128,42,qwen_dialogsum_dora_b128_s42,,,0.19533868572563384,200,23.16596794128418,3.45177005926768,0.009934780009014894,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_dora_b128_s42_meta.json
qwen,dialogsum,dora,128,43,qwen_dialogsum_dora_b128_s43,,,0.19325829932573874,200,23.16596794128418,3.457900647322337,0.009934780009014894,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_dora_b128_s43_meta.json
qwen,dialogsum,dora,2048,42,qwen_dialogsum_dora_b2048_s42,,,0.22845599447179668,200,23.16596794128418,53.7500780582428,0.009934780009014894,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_dora_b2048_s42_meta.json
qwen,dialogsum,dora,2048,43,qwen_dialogsum_dora_b2048_s43,,,0.2308489132811767,200,23.16596794128418,53.89597883224487,0.009934780009014894,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_dora_b2048_s43_meta.json
qwen,dialogsum,dora,512,42,qwen_dialogsum_dora_b512_s42,,,0.2139747456723611,200,23.16596794128418,13.529785346984863,0.009934780009014894,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_dora_b512_s42_meta.json
qwen,dialogsum,dora,512,43,qwen_dialogsum_dora_b512_s43,,,0.21921343568028107,200,23.16596794128418,13.544229598840078,0.009934780009014894,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_dora_b512_s43_meta.json
qwen,dialogsum,ia3,128,42,qwen_dialogsum_ia3_b128_s42,,,0.18312432041483395,200,12.712484359741211,1.066635505358378,0.0001343721684383333,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_ia3_b128_s42_meta.json
